teacher_id,student_id,ats_task,ats_eps,ats_time,cic_task,cic_eps,cic_time,vs_task,vs_eps,vs_time,Add student to class,Move student to class,Remove student from class,Copy student to class,Click admin tools,Click intro video,Click lesson plans,Click webinar,Click technical info,Click supplements,Click account management,Load performance report,Load progress report,Load activity report,Upload student spreadsheet,Convert selection text to speech,Convert dialog text to speech,Convert last text again,Export performance report,Look up glossary term,Print list of students,Load the Getting Started section,Load the Read to Lead section,Load the Support section,Print performance report,Print progress report,Print student all activity report,Print class individual activity report,Print student individual activity report,Print student writing activity report,Log into the platform,Log out of the platform,Add anonymous student to class,Load the Stats section,Load the Characters section,Load the You're Hired section,Load the OST section
14969,9494,null,null,null,null,null,null,245,5,132.2833,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9495,null,null,null,null,null,null,257,5,141.3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9495,null,null,null,null,null,null,257,5,141.3,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9496,null,null,null,null,null,null,307,5,141.6667,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9496,null,null,null,null,null,null,307,5,141.6667,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9497,null,null,null,null,null,null,332,5,208.95,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9497,null,null,null,null,null,null,332,5,208.95,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9498,null,null,null,null,null,null,246,5,144.55,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9498,null,null,null,null,null,null,246,5,144.55,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9501,null,null,null,null,null,null,246,5,114.1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9501,null,null,null,null,null,null,246,5,114.1,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9502,null,null,null,null,null,null,317,5,161.8333,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9502,null,null,null,null,null,null,317,5,161.8333,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9503,null,null,null,null,null,null,220,5,134.75,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9503,null,null,null,null,null,null,220,5,134.75,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
36120,9504,null,null,null,null,null,null,325,5,135.0167,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14969,9504,null,null,null,null,null,null,325,5,135.0167,0,0,0,0,107,3,49,0,0,0,0,32,58,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
9525,9529,null,null,null,null,null,null,107,2,107.8333,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9529,null,null,null,null,null,null,107,2,107.8333,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9563,null,null,null,null,null,null,153,1,108.2,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9563,null,null,null,null,null,null,153,1,108.2,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9565,null,null,null,null,null,null,32,null,40.9833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9565,null,null,null,null,null,null,32,null,40.9833,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9525,9567,null,null,null,null,null,null,116,2,79,0,0,0,0,23,0,4,0,0,0,0,8,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
