user_id,play_iteration_id,episode_id,standard,instance,support_level,taskcount,task_id,task_description,why_important,time_completed
1,2,1,null,null,null,4,19,Read bulletinBoard in COFFEE,null,12/18/17 13:25
1,2,1,null,null,null,5,19,Read bulletinBoard in COFFEE,null,12/19/17 14:35
1,2,1,null,null,null,6,19,Read bulletinBoard in COFFEE,null,12/21/17 13:52
1,2,1,null,null,null,7,19,Read bulletinBoard in COFFEE,null,1/4/18 18:32
1,2,1,null,null,null,8,19,Read bulletinBoard in COFFEE,null,1/4/18 18:54
1,2,1,null,null,null,9,19,Read bulletinBoard in COFFEE,null,1/10/18 16:39
1,2,1,null,null,null,1,30,EPISODE EXIT,null,12/8/17 20:24
1,2,1,null,null,null,2,30,EPISODE EXIT,null,12/8/17 20:30
1,2,1,null,null,null,3,30,EPISODE EXIT,null,12/8/17 20:31
1,2,1,null,null,null,4,30,EPISODE EXIT,null,12/8/17 20:32
1,2,1,null,null,null,5,30,EPISODE EXIT,null,12/8/17 20:32
1,2,1,null,null,null,6,30,EPISODE EXIT,null,12/8/17 20:37
1,2,1,null,null,null,7,30,EPISODE EXIT,null,12/8/17 20:37
1,2,1,null,null,null,8,30,EPISODE EXIT,null,12/8/17 20:40
1,2,1,null,null,null,9,30,EPISODE EXIT,null,12/12/17 0:46
1,2,1,null,null,null,10,30,EPISODE EXIT,null,12/12/17 0:59
1,2,1,null,null,null,11,30,EPISODE EXIT,null,12/12/17 0:59
1,2,1,null,null,null,12,30,EPISODE EXIT,null,12/12/17 1:04
1,2,1,null,null,null,13,30,EPISODE EXIT,null,12/12/17 1:06
1,2,1,null,null,null,14,30,EPISODE EXIT,null,12/12/17 5:31
1,2,1,null,null,null,15,30,EPISODE EXIT,null,12/12/17 5:32
1,2,1,null,null,null,16,30,EPISODE EXIT,null,12/12/17 5:32
1,2,1,null,null,null,17,30,EPISODE EXIT,null,12/12/17 5:33
1,2,1,null,null,null,18,30,EPISODE EXIT,null,12/12/17 17:05
1,2,1,null,null,null,19,30,EPISODE EXIT,null,12/12/17 17:05
1,2,1,null,null,null,20,30,EPISODE EXIT,null,12/13/17 3:43
1,2,1,null,null,null,21,30,EPISODE EXIT,null,12/13/17 4:06
1,2,1,null,null,null,22,30,EPISODE EXIT,null,12/13/17 4:07
1,2,1,null,null,null,23,30,EPISODE EXIT,null,12/13/17 4:12
1,2,1,null,null,null,24,30,EPISODE EXIT,null,12/13/17 4:15
1,2,1,null,null,null,25,30,EPISODE EXIT,null,12/13/17 4:16
1,2,1,null,null,null,26,30,EPISODE EXIT,null,12/13/17 4:18
1,2,1,null,null,null,27,30,EPISODE EXIT,null,12/13/17 4:43
1,2,1,null,null,null,28,30,EPISODE EXIT,null,12/13/17 18:09
1,2,1,null,null,null,29,30,EPISODE EXIT,null,12/13/17 18:10
1,2,1,null,null,null,30,30,EPISODE EXIT,null,12/13/17 18:10
1,2,1,null,null,null,31,30,EPISODE EXIT,null,12/13/17 18:10
1,2,1,null,null,null,32,30,EPISODE EXIT,null,12/13/17 18:11
1,2,1,null,null,null,33,30,EPISODE EXIT,null,12/13/17 18:11
1,2,1,null,null,null,34,30,EPISODE EXIT,null,12/13/17 18:11
1,2,1,null,null,null,35,30,EPISODE EXIT,null,12/13/17 18:12
1,2,1,null,null,null,36,30,EPISODE EXIT,null,12/13/17 18:13
1,2,1,null,null,null,37,30,EPISODE EXIT,null,12/13/17 18:13
1,2,1,null,null,null,38,30,EPISODE EXIT,null,12/13/17 18:15
1,2,1,null,null,null,39,30,EPISODE EXIT,null,12/13/17 18:15
1,2,1,null,null,null,40,30,EPISODE EXIT,null,12/13/17 18:17
1,2,1,null,null,null,41,30,EPISODE EXIT,null,12/13/17 18:18
1,2,1,null,null,null,42,30,EPISODE EXIT,null,12/13/17 18:21
1,2,1,null,null,null,43,30,EPISODE EXIT,null,12/13/17 18:22
1,2,1,null,null,null,44,30,EPISODE EXIT,null,12/13/17 19:31
1,2,1,null,null,null,45,30,EPISODE EXIT,null,12/13/17 21:50
1,2,1,null,null,null,46,30,EPISODE EXIT,null,12/13/17 21:52
1,2,1,null,null,null,47,30,EPISODE EXIT,null,12/13/17 21:52
1,2,1,null,null,null,48,30,EPISODE EXIT,null,12/13/17 21:54
